name,today_playcount,playcount_diff
Intro,14057220,2073
Blue Jeans,12805647,1508
When You Were Young,11681896,2226
Teardrop,11431588,1685
I'm Yours,11029433,1535
Someone Like You,10881205,2559
Lithium,10537498,2299
Alejandro,10014817,1924
Set Fire to the Rain,9746955,2260
Jigsaw Falling Into Place,9476616,1921
Paradise,9311973,1639
Comfortably Numb,9113468,1390
Sweet Disposition,9041639,1596
Faint,8996640,1589
All These Things That I've Done,8945406,1217
I Kissed a Girl,8826661,2175
New Slang,8725198,1468
Highway to Hell,8430635,2103
Firework,8395904,1589
Somewhere Only We Know,8353700,1725
